feature,importance_mean,importance_std
year_num,0.3317983546251718,0.1943970274565158
mileage_num,0.23994418499455,0.18587642643462937
city,0.17264311943855595,0.06179150940905054
color,0.012616978381753973,0.006922051511067907
make,0.01219271418865341,0.010991832599997644
transmission,0.005154920991511746,0.005949007767714944
model,-0.00010143365554013962,0.00013970313706293855
state,-0.0094449916390834,0.017479623755006612
